"ID","u","s","m","l","luminance","chromatic_contrast","achromatic_contrast","vismodel","iluminante","substrato","saturation","mean_brightness","hue","H4","body_region","claw_type","carapace_type","identidade","carapace_color","autotomy","autotomy_latency","autotomy_trial","autotomy_exp_type","force1","force2","force3","max_force","weight_mg","data","size"
"X013_ll_br_c_brac_escuro",0.0362137280527027,0.0721097580899939,0.0936413693372055,0.0974454632332536,0.091463116957966,0.99739307318901,1.7826972,"Peafowl","D65","substrato_barradorio",1.56715850039915,7.27916316702117,648,1.29338076821607,"Carapace","Brachychelous","Dark","ll_13","Dark","no",NA,NA,"by_time",3.74,0.14,2.72,3.74,78.2,"14iv2022",10.09
"X013_ll_br_q_brac_escuro",0.0426271880189708,0.122291863921396,0.229770634232862,0.252300963146983,0.223986885361034,5.5614293165452,7.2108893,"Peafowl","D65","substrato_barradorio",1.98010047632678,20.9509323830142,322,0.0356157269746629,"Claw","Brachychelous","Dark","ll_13","Dark","no",NA,NA,"by_time",3.74,0.14,2.72,3.74,78.2,"14iv2022",19.07
"X014_ll_br_c_brac_escuro",0.045782049861139,0.0768257426656047,0.0891745879269944,0.118969462970761,0.0970079960969625,1.07797862879548,2.13941,"Peafowl","D65","substrato_barradorio",1.21302986752179,9.50306252004185,655,0.859583769177014,"Carapace","Brachychelous","Dark","ll_14","Dark","yes",27,NA,"by_time",0.57,0.67,0.5,0.67,52.9,"14iv2022",9.89
"X014_ll_br_q_brac_escuro",0.110553598447458,0.214543852252166,0.275978097679847,0.260817260295267,0.262876059176636,1.61867055143793,8.181163,"Peafowl","D65","substrato_barradorio",1.27720980567912,28.4142498848515,333,-1.02903076788648,"Claw","Brachychelous","Dark","ll_14","Dark","yes",27,NA,"by_time",0.57,0.67,0.5,0.67,52.9,"14iv2022",20.53
"X015_ll_br_c_brac_escuro",0.0715258967457113,0.13578992001812,0.174694493534645,0.232521077301188,0.187439897581148,1.41758591276835,6.1313181,"Peafowl","D65","substrato_barradorio",1.44879140771885,16.9966134406791,663,0.81968748515421,"Carapace","Brachychelous","Dark","ll_15","Dark","no",NA,NA,"by_time",2.91,3.67,1.19,3.67,76.9,"14iv2022",9.91
"X015_ll_br_q_brac_escuro",0.181000048933711,0.304350965093757,0.328572444619171,0.285229645352083,0.311347458672322,3.56595932043757,9.2067803,"Peafowl","D65","substrato_barradorio",1.35997652437748,36.8014213604681,341,-2.12617997678378,"Claw","Brachychelous","Dark","ll_15","Dark","no",NA,NA,"by_time",2.91,3.67,1.19,3.67,76.9,"14iv2022",19.88
"X016_ll_br_c_brac_escuro",0.0633460655596436,0.11916935888798,0.148930282820663,0.175368545599211,0.152322572976848,0.296255477043519,4.8739982,"Peafowl","D65","substrato_barradorio",1.59431171691926,13.3921727826517,649,1.06266323683311,"Carapace","Brachychelous","Dark","ll_16","Dark","yes",13,NA,"by_time",1.92,1.92,0.02,1.92,77.2,"14iv2022",10.02
"X016_ll_br_q_brac_escuro",0.0912375245011365,0.182260873465999,0.271796200839535,0.274266531695325,0.260932040048301,1.76072951072901,8.1361771,"Peafowl","D65","substrato_barradorio",1.04076157296521,26.1075159746644,333,0.0314323371917705,"Claw","Brachychelous","Dark","ll_16","Dark","yes",13,NA,"by_time",1.92,1.92,0.02,1.92,77.2,"14iv2022",20.4
"X017_ll_br_c_lep_escuro",0.0332962757112765,0.0726396532277934,0.109124431843769,0.142039949785199,0.114086227889427,3.06535549589012,3.1222047,"Peafowl","D65","substrato_barradorio",1.93207449644375,9.05265128539678,649,0.899449689229118,"Carapace","Leptochelous","Dark","ll_17","Dark","yes",12,NA,"by_time",0.02,0.05,2.26,2.26,43.9,"14iv2022",10.26
"X017_ll_br_q_lep_escuro",0.0722169933852902,0.132912168761137,0.169470245406163,0.159437840920275,0.161402583148621,1.6944804025735,5.2249151,"Peafowl","D65","substrato_barradorio",1.35718565988074,17.1334048879387,338,-1.27365422694546,"Claw","Leptochelous","Dark","ll_17","Dark","yes",12,NA,"by_time",0.02,0.05,2.26,2.26,43.9,"14iv2022",20.17
