"identidade","claw_type","carapace_color","autotomy","autotomy_latency","autotomy_trial","autotomy_exp_type","force1","force2","force3","max_force","weight_mg","weight_g","data","body_region","size"
"ll_32","Brachychelous","Bright","no",NA,NA,"by_time",10.09,0.11,3.02,10.09,0.0663,66.3,"15iv2022","Carapace",10.05
"ll_32","Brachychelous","Bright","no",NA,NA,"by_time",10.09,0.11,3.02,10.09,0.0663,66.3,"15iv2022","Claw",19.66
"ll_33","Brachychelous","Dark","no",NA,NA,"by_time",0.08,0.1,0.1,0.1,0.0617,61.7,"15iv2022","Carapace",10.6
"ll_33","Brachychelous","Dark","no",NA,NA,"by_time",0.08,0.1,0.1,0.1,0.0617,61.7,"15iv2022","Claw",22.22
"ll_34","Brachychelous","Bright","no",NA,NA,"by_time",8.3,0.6,3.72,8.3,0.0756,75.6,"15iv2022","Carapace",9.41
"ll_34","Brachychelous","Bright","no",NA,NA,"by_time",8.3,0.6,3.72,8.3,0.0756,75.6,"15iv2022","Claw",19.32
"ll_35","Brachychelous","Dark","no",NA,NA,"by_time",0.7,1.65,1.83,1.83,0.0588,58.8,"15iv2022","Carapace",9.77
"ll_35","Brachychelous","Dark","no",NA,NA,"by_time",0.7,1.65,1.83,1.83,0.0588,58.8,"15iv2022","Claw",19.5
"ll_36","Brachychelous","Bright","no",NA,NA,"by_time",0.25,0.15,0.11,0.25,0.0747,74.7,"15iv2022","Carapace",9.81
"ll_36","Brachychelous","Bright","no",NA,NA,"by_time",0.25,0.15,0.11,0.25,0.0747,74.7,"15iv2022","Claw",18.91
"ll_37","Brachychelous","Dark","no",NA,NA,"by_time",5.47,0.2,0.08,5.47,0.06,60,"15iv2022","Carapace",10.59
"ll_37","Brachychelous","Dark","no",NA,NA,"by_time",5.47,0.2,0.08,5.47,0.06,60,"15iv2022","Claw",19.46
"ll_38","Brachychelous","Bright","no",NA,NA,"by_time",8.56,8.58,0.03,8.58,0.0587,58.7,"15iv2022","Carapace",8.78
"ll_38","Brachychelous","Bright","no",NA,NA,"by_time",8.56,8.58,0.03,8.58,0.0587,58.7,"15iv2022","Claw",16.56
"ll_39","Brachychelous","Dark","no",NA,NA,"by_time",12.54,1.3,0.01,12.54,0.0622,62.2,"15iv2022","Carapace",9.29
"ll_39","Brachychelous","Dark","no",NA,NA,"by_time",12.54,1.3,0.01,12.54,0.0622,62.2,"15iv2022","Claw",17.79
"ll_40","Brachychelous","Bright","no",NA,NA,"by_time",1.24,2.62,2.99,2.99,0.0799,79.9,"15iv2022","Carapace",10.55
"ll_40","Brachychelous","Bright","no",NA,NA,"by_time",1.24,2.62,2.99,2.99,0.0799,79.9,"15iv2022","Claw",20.5
"ll_41","Brachychelous","Dark","no",NA,NA,"by_time",3.12,0.04,0.06,3.12,0.0514,51.4,"15iv2022","Carapace",9.63
"ll_41","Brachychelous","Dark","no",NA,NA,"by_time",3.12,0.04,0.06,3.12,0.0514,51.4,"15iv2022","Claw",17.4
