"ID","u","s","m","l","luminance","chromatic_contrast","achromatic_contrast","vismodel","iluminante","substrato"
"X136_ll_br_q_brac_claro",NA,0.108201568765694,0.194894370990366,NA,0.194894370990366,0.591863903396578,1.2539151,"Fiddler crab","D65","substrato_barradorio"
"X137_ll_br_c_brac_escuro",NA,0.0533251396722096,0.0842529658761745,NA,0.0842529658761744,0.180331887467069,0.4152811,"Fiddler crab","D65","substrato_barradorio"
"X137_ll_br_q_brac_escuro",NA,0.189903571169124,0.297159745514075,NA,0.297159745514075,0.237268441035285,1.6757272,"Fiddler crab","D65","substrato_barradorio"
"X138_ll_br_c_brac_claro",NA,0.183208484959356,0.277928090391963,NA,0.277928090391962,0.420030728035099,1.6088198,"Fiddler crab","D65","substrato_barradorio"
"X138_ll_br_q_brac_claro",NA,0.0742204515553507,0.182339004053461,NA,0.182339004053461,2.42071318543203,1.187325,"Fiddler crab","D65","substrato_barradorio"
"X139_ll_br_c_brac_escuro",NA,0.152811986704482,0.291924092403441,NA,0.291924092403441,0.938485471844474,1.6579512,"Fiddler crab","D65","substrato_barradorio"
"X139_ll_br_q_brac_escuro",NA,0.0763376005672421,0.190796037974797,NA,0.190796037974797,2.5221329396555,1.2326623,"Fiddler crab","D65","substrato_barradorio"
"X140_ll_br_c_brac_claro",NA,0.101292398243077,0.20583654019762,NA,0.20583654019762,1.30256003933768,1.3085397,"Fiddler crab","D65","substrato_barradorio"
"X140_ll_br_q_brac_claro",NA,0.228258834923377,0.363882895842322,NA,0.363882895842323,0.127676079480514,1.8782894,"Fiddler crab","D65","substrato_barradorio"
"X141_ll_br_c_lep_escuro",NA,0.076697487856019,0.12659658524333,NA,0.12659658524333,0.0772947683915981,0.8224629,"Fiddler crab","D65","substrato_barradorio"
"X141_ll_br_q_lep_escuro",NA,0.0698230777269957,0.247784656044811,NA,0.247784656044811,4.58780449486332,1.4940174,"Fiddler crab","D65","substrato_barradorio"
"X142_ll_br_c_brac_claro",NA,0.0902625083475097,0.179506058526801,NA,0.179506058526801,1.17537381584821,1.1716663,"Fiddler crab","D65","substrato_barradorio"
"X142_ll_br_q_brac_claro",NA,0.220533641946749,0.469669667078494,NA,0.469669667078494,1.57897022473187,2.133487,"Fiddler crab","D65","substrato_barradorio"
"X143_ll_br_c_brac_escuro",NA,0.17045258147481,0.322818381652559,NA,0.322818381652559,0.88749862624116,1.7585472,"Fiddler crab","D65","substrato_barradorio"
"X143_ll_br_q_brac_escuro",NA,0.194616421789585,0.392069905895259,NA,0.39206990589526,1.25152230019351,1.9528975,"Fiddler crab","D65","substrato_barradorio"
"X144_ll_br_c_brac_claro",NA,0.117752579368466,0.222130670502904,NA,0.222130670502904,0.864207947852394,1.3847232,"Fiddler crab","D65","substrato_barradorio"
"X144_ll_br_q_brac_claro",NA,0.362469640383934,0.572639639173001,NA,0.572639639173,0.180921092972661,2.331714,"Fiddler crab","D65","substrato_barradorio"
"X145_ll_br_c_lep_escuro",NA,0.0803621590516991,0.149271142494896,NA,0.149271142494896,0.773113839656738,0.9872217,"Fiddler crab","D65","substrato_barradorio"
"X145_ll_br_q_lep_escuro",NA,0.0975828729411136,0.275892053376467,NA,0.275892053376467,3.24849839205599,1.601467,"Fiddler crab","D65","substrato_barradorio"
"X146_ll_br_c_brac_claro",NA,0.076035255381003,0.172745686966082,NA,0.172745686966082,1.95988875941383,1.1332778,"Fiddler crab","D65","substrato_barradorio"
"X146_ll_br_q_brac_claro",NA,0.212714096963106,0.471014015318117,NA,0.471014015318117,1.80854126031389,2.1363452,"Fiddler crab","D65","substrato_barradorio"
"X147_ll_br_c_lep_escuro",NA,0.11116606491082,0.201590696785816,NA,0.201590696785816,0.631652596656594,1.2876967,"Fiddler crab","D65","substrato_barradorio"
"X147_ll_br_q_lep_escuro",NA,0.154878875932867,0.336728829179231,NA,0.336728829179231,1.70068228908055,1.8007353,"Fiddler crab","D65","substrato_barradorio"
"X148_ll_br_c_brac_claro",NA,0.0749133904044797,0.15282590765322,NA,0.15282590765322,1.32551608550727,1.0107568,"Fiddler crab","D65","substrato_barradorio"
"X148_ll_br_q_brac_claro",NA,0.0808109804782995,0.233830327388572,NA,0.233830327388572,3.38505968563207,1.4360531,"Fiddler crab","D65","substrato_barradorio"
"X149_ll_br_c_lep_escuro",NA,0.148155698512352,0.241822882444733,NA,0.241822882444733,0.0113290604969259,1.4696629,"Fiddler crab","D65","substrato_barradorio"
"X149_ll_br_q_lep_escuro",NA,0.180158267245093,0.332558584447424,NA,0.332558584447424,0.736340266522334,1.7882734,"Fiddler crab","D65","substrato_barradorio"
"X150_ll_br_c_lep_claro",NA,0.0934258310994561,0.165957312783239,NA,0.165957312783239,0.509962510012231,1.093188,"Fiddler crab","D65","substrato_barradorio"
"X150_ll_br_q_lep_claro",NA,0.225514287216509,0.340893068317635,NA,0.340893068317635,0.440962948143155,1.8130262,"Fiddler crab","D65","substrato_barradorio"
"X151_ll_br_c_brac_escuro",NA,0.0769004881113144,0.181773493922073,NA,0.181773493922073,2.19338586697278,1.1842187,"Fiddler crab","D65","substrato_barradorio"
"X151_ll_br_q_brac_escuro",NA,0.161472395286604,0.335413755509277,NA,0.335413755509276,1.43195861548485,1.7968222,"Fiddler crab","D65","substrato_barradorio"
"X152_ll_br_c_lep_claro",NA,0.0647736215084534,0.132079266540616,NA,0.132079266540616,1.32278805595972,0.8648596,"Fiddler crab","D65","substrato_barradorio"
"X152_ll_br_q_lep_claro",NA,0.0831573828567612,0.178805234924711,NA,0.178805234924711,1.63543736774813,1.1677545,"Fiddler crab","D65","substrato_barradorio"
"X153_ll_br_c_brac_escuro",NA,0.128128393661756,0.239707169697075,NA,0.239707169697075,0.815329421425851,1.4608754,"Fiddler crab","D65","substrato_barradorio"
"X153_ll_br_q_brac_escuro",NA,0.225050848070934,0.432166254196668,NA,0.432166254196667,0.969117947553427,2.0502677,"Fiddler crab","D65","substrato_barradorio"
"X154_ll_br_c_brac_claro",NA,0.10920072673233,0.175913865236657,NA,0.175913865236657,0.0660701105037414,1.1514518,"Fiddler crab","D65","substrato_barradorio"
"X154_ll_br_q_brac_claro",NA,0.121455450473458,0.258020707473501,NA,0.258020707473501,1.56431516146718,1.5344972,"Fiddler crab","D65","substrato_barradorio"
"X155_ll_br_c_brac_escuro",NA,0.125825141996929,0.26045887766658,NA,0.26045887766658,1.41145928662676,1.5439023,"Fiddler crab","D65","substrato_barradorio"
"X155_ll_br_q_brac_escuro",NA,0.125416580411036,0.296606948852684,NA,0.296606948852683,2.19643743866152,1.6738652,"Fiddler crab","D65","substrato_barradorio"
"X156_ll_br_c_brac_claro",NA,0.0708712230911964,0.125799089136598,NA,0.125799089136598,0.505595540012508,0.8161435,"Fiddler crab","D65","substrato_barradorio"
"X156_ll_br_q_brac_claro",NA,0.127884868224238,0.244320446450496,NA,0.244320446450496,0.938867229087566,1.479938,"Fiddler crab","D65","substrato_barradorio"
"X157_ll_br_c_brac_escuro",NA,0.0448874329033104,0.0659007221157565,NA,0.0659007221157566,0.61298904173849,0.1696067,"Fiddler crab","D65","substrato_barradorio"
"X157_ll_br_q_brac_escuro",NA,0.0671863806269091,0.157885409994905,NA,0.157885409994905,2.15891329002272,1.0433269,"Fiddler crab","D65","substrato_barradorio"
"X158_ll_br_c_brac_claro",NA,0.131940101242813,0.294558556016251,NA,0.294558556016251,1.85680672140998,1.6669352,"Fiddler crab","D65","substrato_barradorio"
"X158_ll_br_q_brac_claro",NA,0.15341144773432,0.337999281760513,NA,0.337999281760513,1.77896889900087,1.8045011,"Fiddler crab","D65","substrato_barradorio"
"X159_ll_br_c_brac_escuro",NA,0.0415381974050412,0.0669887042160393,NA,0.0669887042160393,0.0595657107174718,0.1859814,"Fiddler crab","D65","substrato_barradorio"
"X159_ll_br_q_brac_escuro",NA,0.0782096672601833,0.197106534419548,NA,0.197106534419548,2.57111025918308,1.2652017,"Fiddler crab","D65","substrato_barradorio"
"X160_ll_br_c_brac_claro",NA,0.0641842372381818,0.0997874925557822,NA,0.0997874925557821,0.275382904961642,0.5845002,"Fiddler crab","D65","substrato_barradorio"
"X160_ll_br_q_brac_claro",NA,0.167203715300538,0.246293592264273,NA,0.246293592264273,0.593426736499427,1.4879816,"Fiddler crab","D65","substrato_barradorio"
"X161_ll_br_c_lep_escuro",NA,0.0654996099023701,0.132924839827469,NA,0.132924839827469,1.29471512722145,0.8712412,"Fiddler crab","D65","substrato_barradorio"
"X161_ll_br_q_lep_escuro",NA,0.212363936346522,0.372581726328566,NA,0.372581726328566,0.436848832076986,1.9019138,"Fiddler crab","D65","substrato_barradorio"
