"ID","claw_size","carapace_size","claw_type","carapace_color","autotomy","autotomy_latency","autotomy_trial","autotomy_exp_type","force1","force2","force3","max_force","weight_mg","weight_g","data"
"ll_74",13.1,7.56,"brachy","b","no",NA,NA,"by_time",1.98,0.22,0.07,1.98,0.0337,33.7,"17iv2022"
"ll_75",16.36,8.9,"brachy","e","no",NA,NA,"by_time",2.82,0.75,0.32,2.82,0.0479,47.9,"17iv2022"
"ll_76",14.06,7.93,"brachy","b","no",NA,NA,"by_time",0.06,0.01,0,0.06,0.0324,32.4,"17iv2022"
"ll_77",12.82,8.54,"brachy","e","no",NA,NA,"by_time",0.07,1.17,0.13,1.17,0.0257,25.7,"17iv2022"
"ll_78",12.4,7.94,"brachy","b","no",NA,NA,"by_time",0.2,0.25,0.08,0.25,0.0298,29.8,"17iv2022"
"ll_79",13.12,8.33,"brachy","e","no",NA,NA,"by_time",3.63,0.23,0.06,3.63,0.0354,35.4,"17iv2022"
"ll_80",10.76,7.88,"brachy","b","no",NA,NA,"by_time",1.43,0.02,0.05,1.43,0.0236,23.6,"17iv2022"
"ll_81",20.22,10.66,"brachy","e","no",NA,NA,"by_time",7.52,0.35,0.03,7.52,0.0677,67.7,"30iv2022"
"ll_82",21.18,10.45,"brachy","b","no",NA,NA,"by_time",2.7,0.07,0.57,2.7,0.0903,90.3,"30iv2022"
"ll_83",21.13,10.98,"brachy","e","no",NA,NA,"by_time",8.29,1.93,6.5,8.29,0.0837,83.7,"30iv2022"
"ll_84",19.75,9.61,"brachy","b","no",NA,NA,"by_time",1.98,0.04,0.07,1.98,0.0744,74.4,"30iv2022"
"ll_85",17.28,9.22,"brachy","e","no",NA,NA,"by_time",11.19,0.2,0.14,11.19,0.0627,62.7,"30iv2022"
"ll_86",20.29,10.39,"brachy","b","no",NA,NA,"by_time",1.22,0.2,0.4,1.22,0.0766,76.6,"30iv2022"
"ll_87",21.67,11,"brachy","e","no",NA,NA,"by_time",1.89,2,0.09,2,0.0721,72.1,"30iv2022"
"ll_88",19.69,9.86,"brachy","b","no",NA,NA,"by_time",0.1,3.36,0.76,3.36,0.0795,79.5,"30iv2022"
"ll_89",20.07,10.1,"brachy","e","no",NA,NA,"by_time",0.07,4.94,1.72,4.94,0.0671,67.1,"30iv2022"
"ll_90",19.18,10.55,"lepto","b","no",NA,NA,"by_time",0.13,0.19,0.03,0.19,0.0483,48.3,"30iv2022"
"ll_91",17.35,8.99,"brachy","e","no",NA,NA,"by_time",7.95,0.18,0.02,7.95,0.0535,53.5,"30iv2022"
"ll_92",20.16,9.87,"brachy","b","no",NA,NA,"by_time",10.95,0.09,4.12,10.95,0.062,62,"30iv2022"
"ll_93",20.73,10.2,"lepto","e","no",NA,NA,"by_time",1.65,1.88,0.09,1.88,0.0584,58.4,"30iv2022"
"ll_94",18.07,9.49,"brachy","b","yes",58,NA,"by_time",0.05,0.06,0.05,0.06,0.0721,72.1,"30iv2022"
"ll_95",15.97,9.49,"brachy","e","no",NA,NA,"by_time",4.6,1.47,3.5,4.6,0.0472,47.2,"30iv2022"
"ll_96",19.9,9.72,"brachy","b","no",NA,NA,"by_time",15.03,3.92,23.01,23.01,0.0836,83.6,"30iv2022"
"ll_97",14.93,9.2,"brachy","e","no",NA,NA,"by_time",7.66,0.04,3.85,7.66,0.0393,39.3,"30iv2022"
"ll_98",18.01,10.01,"brachy","b","no",NA,NA,"by_time",1.73,0.03,0.66,1.73,0.0481,48.1,"30iv2022"
"ll_99",17.2,9.99,"brachy","e","no",NA,NA,"by_time",5.97,1.56,0.82,5.97,0.0387,38.7,"30iv2022"
"ll_100",16.52,8.5,"brachy","b","no",NA,NA,"by_time",1.14,0.05,10.44,10.44,0.0467,46.7,"30iv2022"
"ll_101",13.76,8.39,"brachy","e","yes",58,NA,"by_time",0.66,0.34,0.41,0.66,0.0339,33.9,"30iv2022"
"ll_102",15.51,8.81,"brachy","b","no",NA,NA,"by_time",6.18,0.16,0.23,6.18,0.0433,43.3,"30iv2022"
"ll_103",18.8,9.93,"brachy","e","no",NA,NA,"by_time",0.02,0.02,6.98,6.98,0.0636,63.6,"01v2022"
"ll_104",19.64,9.81,"brachy","b","no",NA,NA,"by_time",2.1,0.54,0.08,2.1,0.0683,68.3,"01v2022"
"ll_105",15.01,8.04,"brachy","e","no",NA,NA,"by_time",0.64,0.2,0.11,0.64,0.0394,39.4,"01v2022"
"ll_106",18.24,9.69,"brachy","b","no",NA,NA,"by_time",0.62,0.5,0.19,0.62,0.0547,54.7,"01v2022"
"ll_107",18.44,9.83,"brachy","e","yes",1,NA,"by_time",11.41,0.13,7.29,11.41,0.0635,63.5,"01v2022"
"ll_108",12.9,9.98,"lepto","b","no",NA,NA,"by_time",0.01,0.02,0.04,0.04,0.0147,14.7,"01v2022"
